,Community,Degree
2749262,150,3
3051097,151,5
3302800,150,4
3371994,153,5
5445547,153,5
34144403,151,3
34717147,150,4
35660011,152,1
40562854,34,2
48523334,150,5
48797476,153,5
49337119,150,3
49437682,151,3
50197963,152,3
50362385,154,0
117204053,153,5
145192191,153,5
145994734,150,4
153284029,153,6
1388368997,151,6
1397259375,153,1
1702242,155,2
48415127,155,1
2078196991,155,1
1702730,156,3
1731520,156,13
117923882,156,3
1491612558,156,3
1702853,9,6
2022168,9,3
2579342,9,3
47198673,9,3
144547315,9,2
145217085,9,2
145234497,9,7
1702916,157,2
2975116,157,2
32494669,157,2
1702946,158,3
40157213,158,3
143778812,158,3
2000348847,158,3
1703124,159,7
1745800,159,7
2096126,159,6
2178435,159,6
2627759,159,8
145288435,159,6
145660644,4,4
1398744042,159,6
1703705,57,4
2877292,57,4
20119087,57,3
145248644,57,3
145483131,57,11
1703980,160,2
1801452,160,2
41202995,160,2
1704263,96,2
1947786,96,1
119451124,26,1
1704595,43,2
144041798,43,21
145459863,43,2
1721094,30,1
1779856,161,3
2149740,56,8
2150738,56,4
2221005,56,4
2251921,162,2
2265065,30,6
2410249,56,4
2436450,163,1
2763539,30,6
2819582,162,2
2956793,162,2
3107309,164,2
3799488,64,6
6140312,30,4
6213229,30,7
8070800,30,4
23973690,161,3
24000532,161,3
24014060,161,3
34702580,56,4
40385687,30,1
47691963,164,5
48582283,64,2
49317293,56,4
49623164,30,6
50583570,56,8
80496784,56,4
84482743,30,4
143715602,163,1
144578221,30,5
144994682,30,4
145518428,30,9
145524933,56,4
1398232551,30,6
1490866355,30,4
1505743492,64,4
2052824095,30,6
2059894216,56,4
2082309897,30,4
2088442217,164,2
2098816402,64,4
2098817192,64,4
1705700,9,4
1991548,9,4
32174562,9,4
37687750,9,4
144154709,9,11
1705764,26,5
1712852,26,2
1805892,26,2
47286020,26,5
51938944,26,2
1672633023,26,2
1995516,165,2
2045191,166,1
4054044,166,1
24297377,165,2
48801614,165,2
1706210,167,2
1756468,167,4
2098749,167,4
1706272,96,2
145611269,96,2
1706506,168,4
2795942,168,4
32218195,168,4
2057733996,168,4
2067166114,168,4
1706831,35,6
1769221,35,2
1809355,35,4
2793618,35,2
27711759,35,1
31620142,35,7
94892499,35,2
1707089,169,1
1671533745,169,13
1707311,170,1
3634969,170,7
1754991,13,3
2875293,13,7
32582665,13,4
36723940,13,3
37765074,13,4
40962379,13,3
123471607,13,4
1707467,171,0
1708116,172,2
1797856,172,4
47107724,172,3
1708123,173,3
51002836,173,6
70441859,173,3
145544446,173,6
1709624,174,3
1789973,174,3
2506126,174,3
3087426,174,3
143838343,175,1
144235140,175,1
1708336,57,3
1723948,57,3
1729928,57,5
1736987,57,3
1708763,176,2
2156673,176,2
145708229,176,2
1708772,177,0
1708847,172,5
1712655,172,3
1728945,172,3
1782535,172,1
1809983,172,4
143803467,172,10
1709353,178,0
1777572,48,1
1709870,179,7
1730983,179,7
1871080,179,7
8692280,179,7
32733436,179,7
145272255,179,7
1397914802,179,7
1411812104,179,7
1710491,4,10
2146531,4,17
2483782,4,4
2674073,4,2
2746035,4,1
3068033,4,1
3347169,4,1
8813467,4,3
9957987,4,2
38451921,4,2
145192169,4,6
1710917,180,1
4562531,180,1
1711956,181,0
1712146,182,4
1738875,182,6
36757962,182,4
144594997,182,4
145846952,182,4
1928935,57,3
2982231,57,3
8526808,57,3
84207101,57,5
145488491,57,3
1420473100,57,2
1422467397,57,1
1775694,4,3
2134231,4,13
2476149,4,6
2532973,4,10
2535806,4,25
2771830,4,6
2818752,4,3
3050774,4,6
3063377,4,9
3298708,4,6
3342137,4,3
4422821,4,4
4623141,4,3
5980297,4,3
31116764,4,17
48116063,4,25
48147722,4,8
118036823,4,4
120798044,4,4
134784269,4,8
152654661,4,8
1456735310,4,4
2069902691,4,4
2106072537,4,9
1933107,96,2
2391727,96,8
3217172,183,6
4513206,183,6
32662204,183,6
34774636,184,2
36743361,96,5
36942521,96,5
39824354,56,5
47974660,183,6
48857747,56,2
66057618,96,5
152310567,183,6
1397797306,184,2
1423725451,183,6
1561777696,96,5
2065497554,184,2
2067988644,96,2
2079740165,183,6
2612372,34,5
2821130,34,4
3314625,34,9
38730378,34,12
1713302,185,4
1872742,185,4
2361778,185,4
34849332,185,4
1682202847,185,4
1713747,29,1
1713898,9,2
1739628,9,11
1740403,9,2
1760557,62,12
3074754,62,8
32232633,62,8
98447928,62,8
145540107,62,8
2079417698,62,7
2109884660,62,7
1923670,186,4
2487499,186,3
40135449,186,3
2064838564,186,3
1714721,187,2
2252806,187,2
1389953781,187,2
1714923,6,2
144828606,6,4
1714932,188,1
2663662,188,1
1715830,37,3
1745069,37,19
3069984,37,3
145609590,37,9
1716264,189,4
2058389,189,3
16054378,189,4
66305794,189,3
145303334,189,3
1716440,190,0
3455271,105,1
1717631,136,5
2313102,136,5
2778050,136,5
26348714,136,5
152981613,136,5
1741203,191,0
1774457,192,1
1805753,193,3
1807154,194,1
2011769,195,0
2285053,196,0
2438125,172,2
2450616,197,1
2579144,193,1
2817166,198,1
3139725,197,3
3308376,193,2
3806712,192,1
4412485,198,1
6998564,199,2
14245720,172,1
31518745,200,0
32947268,193,2
34734091,199,2
34829872,199,2
35009711,201,0
50134958,202,1
81066242,203,0
102382063,172,2
121841455,172,2
143800151,202,2
143800755,194,1
145849632,197,1
1396810650,197,1
2055356744,172,2
2077063288,202,1
2109988974,204,0
2111098411,172,1
1719480,0,3
3089832,0,11
143602360,0,16
1719645,205,3
1737216,205,3
143653849,205,3
144941745,205,3
1719730,169,4
2168395,169,1
4975532,169,5
47546873,169,6
117126484,169,2
1719736,206,0
1719898,207,2
2620560,207,1
10195617,207,1
1720057,208,8
3159389,208,8
35109383,208,8
35145855,208,14
39998234,208,8
40391073,208,8
40396130,208,8
